Naam;Lopen;Golfen;Roeien;Schieten
Arthur Van Doren;04:42.00;156 m;03:52.22;0
Bart Swings;05:07.75;90 m;03:11.75;0
Dennis Praet;04:29.18;153 m;03:12.13;1
Dirk Van Tichelt;05:46.44;116 m;03:27.75;5
Dylan Borlée;04:33.09;67 m;03:52.00;3
Elise Mertens;05:57.53;119 m;04:34.13;3
Élodie Ouédraogo;05:46.24;56 m;03:52.24;0
Erik Van Looy;07:52.01;55 m;04:32.65;1
Fanny Lecluyse;05:54.17;58 m;03:48.25;2
Greg Van Avermaet;04:43.59;89 m;03:21.52;2
Hanne Claes;05:08.19;110 m;04:13.11;1
Hans Vanaken;04:55.56;57 m;03:20.63;1
Jani Kazaltzis;07:15.61;92 m;03:48.53;0
Jaouad Achab;06:16.24;56 m;04:01.25;1
Jeroom Snelders;07:41.95;76 m;03:51.75;1
Jolien D'Hoore;05:45.49;55 m;03:39.75;4
Jonathan Borlée;04:38.72;144 m;03:40.24;2
Kevin Borlée;04:56.24;104 m;04:04.24;1
Kim Mestdagh;06:18.58;65 m;03:48.34;1
Kirsten Flipkens;06:41.49;118 m;03:59.25;2
Mathieu van der Poel;04:48.67;106 m;03:11.11;3
Matthias Casse;05:46.48;117 m;03:06.97;1
Nina Sterckx;07:58.16;69 m;04:23.93;2
Oliver Naesen;04:40.89;90 m;03:14.74;3
Otto-Jan Ham;07:38.98;143 m;03:46.17;1
Pedro Elias;06:42.50;48 m;03:54.50;1
Philippe Geubels;08:31.75;62 m;03:49.49;1
Pieter Timmers;06:46.62;100 m;03:13.49;2
Remco Evenepoel;05:11.30;79 m;03:24.81;2
Rik Verheye;05:23.70;39 m;03:48.66;2
Saartje Vandendriessche;06:34.71;49 m;04:26.57;1
Simon Mignolet;04:46.50;135 m;03:16.33;2
Tessa Wullaert;06:12.24;56 m;04:16.86;3
Thibau Nys;04:29.89;109 m;03:44.90;3
Thomas Briels;04:49.76;105 m;03:21.49;0
Thomas De Gendt;05:55.81;69 m;03:30.52;3
Tim Brys;04:56.19;68 m;02:39.81;0
Toon Aerts;04:59.44;89 m;03:08.97;1
Victor Campenaerts;05:11.75;48 m;03:23.47;4
Wesley Sonck;05:20.35;153 m;03:32.64;2
Wout van Aert;05:17.00;48 m;02:49.74;0
Yves Lampaert;05:29.49;117 m;03:17.49;1
